ID F 1O 2O 3O 4O 5O
OGLE-SMC-CEP-2808 2.1688786 1.5832654 -1. -1. -1. -1.
OGLE-SMC-CEP-2829 2.1210875 1.5496990 -1. -1. -1. -1.
OGLE-SMC-CEP-3019 2.1537062 1.5695398 -1. -1. -1. -1.
OGLE-SMC-CEP-3078 2.2210948 1.6171170 -1. -1. -1. -1.
OGLE-SMC-CEP-3269 2.3326524 1.7047120 -1. -1. -1. -1.
OGLE-SMC-CEP-3291 1.2163489 0.8975114 -1. -1. -1. -1.
OGLE-SMC-CEP-3328 1.6492633 1.2120652 -1. -1. -1. -1.
OGLE-SMC-CEP-3409 1.3301592 0.9732617 -1. -1. -1. -1.
OGLE-SMC-CEP-3828 2.2857097 1.6706279 -1. -1. -1. -1.
OGLE-SMC-CEP-4043 2.2388953 1.6273429 -1. -1. -1. -1.
OGLE-SMC-CEP-4120 1.7374706 1.2781510 -1. -1. -1. -1.
OGLE-SMC-CEP-4161 1.8907514 1.3860649 -1. -1. -1. -1.
OGLE-SMC-CEP-4345 1.7934551 1.3170654 -1. -1. -1. -1.
OGLE-BLG-CEP-03 1.2356978 0.9053473 -1. -1. -1. -1.
OGLE-BLG-CEP-21 0.7785577 0.5709891 -1. -1. -1. -1.
OGLE-LMC-CEP-0008 -1. 0.9728803 0.7819963 -1. -1. -1.
OGLE-LMC-CEP-0011 -1. 1.0199399 0.8194226 -1. -1. -1.
OGLE-LMC-CEP-0032 -1. 1.0619388 0.8543964 -1. -1. -1.
OGLE-LMC-CEP-0061 -1. 0.8685993 0.6985061 -1. -1. -1.
OGLE-LMC-CEP-0073 -1. 0.8371477 0.6739025 -1. -1. -1.
OGLE-LMC-CEP-0081 -1. 0.5360223 0.4328948 -1. -1. -1.
OGLE-LMC-CEP-0136 -1. 1.4398274 1.1521875 -1. -1. -1.
OGLE-LMC-CEP-0146 -1. 0.8840895 0.7125805 -1. -1. -1.
OGLE-LMC-CEP-0178 -1. 0.7226984 0.5816238 -1. -1. -1.
OGLE-LMC-CEP-0183 -1. 0.8934525 0.7193078 -1. -1. -1.
OGLE-LMC-CEP-0207 -1. 0.9990188 0.8019926 -1. -1. -1.
OGLE-LMC-CEP-0219 -1. 0.9431289 0.7586516 -1. -1. -1.
OGLE-LMC-CEP-0228 -1. 0.3656793 0.2939865 -1. -1. -1.
OGLE-LMC-CEP-0234 -1. 1.1328773 0.9078021 -1. -1. -1.
OGLE-LMC-CEP-0242 -1. 0.7804629 0.6295171 -1. -1. -1.
OGLE-LMC-CEP-0259 -1. 0.5062302 0.4068503 -1. -1. -1.
OGLE-LMC-CEP-0277 -1. 0.5784461 0.4667290 -1. -1. -1.
OGLE-LMC-CEP-0309 -1. 0.7885423 0.6347889 -1. -1. -1.
OGLE-LMC-CEP-0311 -1. 1.3641916 1.0933167 -1. -1. -1.
OGLE-LMC-CEP-0341 -1. 0.3261510 0.2629724 -1. -1. -1.
OGLE-LMC-CEP-0344 -1. 0.2600595 0.2088636 -1. -1. -1.
OGLE-LMC-CEP-0375 -1. 0.6880396 0.5539631 -1. -1. -1.
OGLE-LMC-CEP-0391 -1. 1.1410553 0.9149391 -1. -1. -1.
