ID F 1O 2O 3O 4O 5O
OGLE-LMC-RRLYR-01867 0.5079093 0.3786371 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01925 0.4949145 0.3683386 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01950 0.4758110 0.3539310 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01989 0.4902661 0.3650587 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02006 0.5333059 0.3977523 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02016 0.4801009 0.3573119 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02030 0.4816853 0.3585968 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02047 0.4788483 0.3561048 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02099 0.5000917 0.3721428 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02159 0.4938801 0.3676396 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02172 0.4915538 0.3658665 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02173 0.4759757 0.3539833 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02199 0.4931194 0.3672158 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02202 0.4800691 0.3573230 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02223 0.4713539 0.3506642 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02240 0.4698653 0.3487053 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02242 0.4933999 0.3673679 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02252 0.4739433 0.3522417 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02307 0.4790966 0.3566381 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02338 0.4782680 0.3557846 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02342 0.5444828 0.4056033 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02358 0.4908069 0.3654580 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02370 0.4737630 0.3523430 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02383 0.4770323 0.3549232 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02406 0.4689256 0.3487368 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02416 0.4841022 0.3603519 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02440 0.4763268 0.3542304 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02454 0.5602127 0.4180845 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02464 0.4864849 0.3619214 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02524 0.4787938 0.3562530 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02546 0.4877672 0.3627973 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02569 0.5487024 0.4090102 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02582 0.4774354 0.3552155 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02607 0.5098660 0.3796060 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02617 0.4771482 0.3548355 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02626 0.4875656 0.3630261 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02633 0.5066960 0.3771588 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02653 0.4936748 0.3676778 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02658 0.4876248 0.3630658 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02677 0.4710907 0.3502812 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02688 0.4917832 0.3660751 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02693 0.4838231 0.3600692 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02698 0.4968760 0.3699348 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02746 0.4850660 0.3610803 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02750 0.4801469 0.3571060 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02771 0.4955139 0.3689540 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02796 0.4806107 0.3574330 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02827 0.4866769 0.3623878 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02844 0.4795342 0.3569434 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02893 0.5008615 0.3726528 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02913 0.4755950 0.3537438 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02927 0.4796982 0.3571584 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02941 0.5187413 0.3866714 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02951 0.4904824 0.3651648 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02966 0.4973546 0.3707054 -1. -1. -1. -1.
OGLE-LMC-RRLYR-02974 0.4825506 0.3593490 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03012 0.4825036 0.3591883 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03013 0.4616063 0.3427423 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03023 0.5059077 0.3768504 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03067 0.5137722 0.3832417 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03108 0.5446247 0.4060689 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03127 0.4862897 0.3619798 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03140 0.4694809 0.3490777 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03221 0.5346694 0.3983088 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03301 0.4874293 0.3630639 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03315 0.4899650 0.3648793 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03414 0.4678335 0.3479563 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03423 0.4878202 0.3629116 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03468 0.5026415 0.3744909 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03498 0.5071560 0.3782716 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03510 0.5056398 0.3767513 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03520 0.4717578 0.3508127 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03524 0.5812722 0.4336058 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03532 0.4866989 0.3623688 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03545 0.5276204 0.3933226 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03557 0.4863346 0.3620764 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03562 0.4909818 0.3656870 -1. -1. -1. -1.
OGLE-LMC-RRLYR-03565 0.4826991 0.3589806 -1. -1. -1. -1.
